,0,1
2,303021058,0
3,303021059,1
4,311061334,0
6,303031065,0
7,317011458,0
8,124051471,0
9,506031124,7
10,115041301,0
11,506031126,0
13,506031129,0
14,506031130,0
15,119011356,2
16,206041117,42
17,206041118,0
19,128021536,0
20,206041121,0
21,206041122,109
22,206041123,0
23,206041124,79
24,206041125,9
25,206041126,18
26,209031209,0
27,103021063,0
28,209031215,1
29,212021297,7
30,114021287,1
31,509021236,0
32,103041077,16
34,125031479,2
35,125031480,0
37,301011002,7
38,125031483,1
39,125031484,0
40,125031485,0
41,107011134,4
42,116021312,0
46,401021004,3
47,401021005,3
48,401021006,3
50,211011256,0
51,404011090,6
52,404011091,0
53,507011156,0
54,404011093,11
55,507011158,1
56,507011159,4
57,404011097,0
58,210011228,15
59,315021406,0
60,206071141,0
61,702011045,0
62,306051170,2
63,305021115,0
64,113031268,1
65,119041382,3
66,207021158,0
67,126011495,3
68,207021160,0
70,506071147,5
71,311031314,0
72,118011347,0
73,302031037,4
76,305031119,4
79,601041022,0
81,601041024,0
82,123021443,4
83,205011077,0
84,205011079,0
85,309051244,1
87,114011278,2
88,114011280,1
90,502011029,0
91,102011030,0
92,102011032,1
95,403031066,0
96,120031391,0
97,310021280,0
98,120031393,0
99,111021218,0
100,111021219,0
101,111021220,0
102,121011398,3
103,309081261,0
104,403031068,2
105,210051242,1
106,210051243,1
107,210051244,16
108,210051245,15
109,309081262,2
110,403031069,5
111,210051249,0
112,210051250,0
114,507051188,2
115,801061065,29
116,216031416,2
117,103041079,0
118,305021114,0
119,206041119,19
120,302031036,14
121,305021117,3
122,602021054,0
123,206041120,2
124,507011155,0
126,801061062,4
127,801061063,1
128,121011400,2
129,121011401,2
130,121011402,1
131,206071139,6
132,128021538,2
133,801061070,7
134,304031096,26
135,402041042,0
136,402041045,4
137,316041430,0
138,316041431,0
139,319031512,0
140,316041433,0
141,310011273,0
142,107041146,15
143,211031263,1
144,211031264,0
145,212021299,6
146,211031266,1
147,127031523,7
148,127031524,0
151,118021351,1
152,118021352,4
153,126021500,5
154,208041194,1
155,208041195,2
156,119041378,1
157,107041149,3
158,507031172,0
159,313051380,2
160,107041150,1
162,124041467,0
163,506021118,0
164,506021120,2
165,214021377,0
166,403021058,13
167,506021123,0
169,403021061,15
170,214021382,0
171,128011527,0
172,128011528,0
173,206031113,0
174,206031114,0
175,128011531,2
178,402041048,8
180,308031219,2
181,209021205,15
182,209021206,0
184,212011289,0
186,303041071,2
189,314031394,2
190,115011291,2
191,504011045,3
192,504011046,9
193,116011303,4
194,504021054,1
195,503011036,0
196,116011307,0
198,506021121,1
199,319011493,0
200,310031288,2
201,102021047,6
202,401051017,3
204,401011001,91
205,401011002,14
206,801011003,2
209,303051072,0
210,212051320,113
211,303051074,0
212,303051075,0
213,122031428,4
214,122031429,1
216,309031240,1
217,120021388,28
218,104011082,0
219,207011147,0
220,207011148,5
221,207011149,0
222,207011150,2
223,207011151,57
224,207011152,10
225,509021240,1
226,101021010,2
227,211031267,2
228,506061142,0
231,120021387,2
232,110031197,2
233,110031198,0
234,118021349,28
235,312021346,0
236,107011131,0
237,206071140,4
238,119041381,1
239,206071142,23
240,206071144,7
241,206071145,2
243,311051326,4
244,207011154,0
246,125031482,0
247,125031486,6
248,212051319,0
251,212051322,4
253,212051324,2
254,212051325,7
255,212051326,1
256,316011413,0
257,215011392,1
260,404021100,0
261,111011206,0
262,310011271,1
263,111011208,0
264,124031462,4
265,310011274,7
266,401051019,2
268,120021389,9
269,121031407,2
272,506051141,0
273,507041175,1
274,507041178,4
275,203021039,5
276,209011196,5
277,507041182,7
278,304021091,2
279,305011105,68
280,305011106,2
281,117031331,0
282,117031332,43
283,117031333,0
284,302021030,2
285,302021031,0
286,117031336,6
287,801051049,29
288,801051050,3
289,801051052,168
290,801051057,0
291,801051059,1
292,801051060,10
293,602011038,0
294,213031352,4
295,101031014,0
296,505031098,4
297,505031100,0
298,402031037,0
299,505031103,6
300,316031427,7
301,505031108,3
303,127021511,0
304,111031229,0
305,127021514,2
306,203021047,2
307,117031330,0
308,118011342,2
309,118011343,4
310,208031184,6
311,127021521,2
312,118011346,3
313,108021155,0
314,208031188,1
315,507011150,5
316,208031190,2
317,208031191,5
318,208031193,0
319,206061135,0
320,311021306,1
321,313041375,0
322,214011370,2
323,124031459,13
324,117031334,4
325,106011110,0
327,124031464,1
328,506011113,0
330,117031335,20
331,214011373,0
332,503021038,3
333,503021039,4
334,503021040,0
335,115021297,3
336,503021042,16
337,503021043,3
338,206021110,9
339,117031337,183
340,217021424,1
341,317011452,0
342,117031338,0
343,209011198,4
344,209011199,1
345,317011456,0
346,109011174,1
347,209011202,1
348,317011459,0
349,106011112,0
350,121041414,2
351,121041415,4
352,121041416,0
353,121041417,51
354,203031052,0
