,Sa2,Year,regionName,score,bonus_collab,core_bonus_score_ratio
0,117031337,2017,Sydney - Haymarket - The Rocks,2049,183,0.089311859
0,206041122,2017,Melbourne,1236,109,0.088187702
0,503021041,2017,Perth City,1071,26,0.024276377
0,305011105,2017,Brisbane City,927,68,0.073354908
0,121041417,2017,North Sydney - Lavender Bay,665,51,0.076691729
0,401011001,2017,Adelaide,622,91,0.146302251
0,212041311,2017,Dandenong,517,14,0.027079304
0,211011254,2017,Knoxfield - Scoresby,490,4,0.008163265
0,118011343,2017,Double Bay - Bellevue Hill,425,4,0.009411765
0,122031429,2017,Freshwater - Brookvale,419,1,0.002386635
0,121011400,2017,Lane Cove - Greenwich,419,2,0.00477327
0,503011035,2017,Nedlands - Dalkeith - Crawley,405,18,0.044444444
0,121011398,2017,Chatswood (East) - Artarmon,403,3,0.007444169
0,206051133,2017,St Kilda,387,0,0
0,206051132,2017,South Melbourne,382,27,0.070680628
0,206071144,2017,Richmond (Vic.),379,7,0.018469657
0,212051320,2017,Clayton,376,113,0.300531915
0,503021042,2017,Subiaco - Shenton Park,368,16,0.043478261
0,121021405,2017,Hornsby - Waitara,361,4,0.011080332
0,801051052,2017,Campbell,345,168,0.486956522
0,128011528,2017,Cronulla - Kurnell - Bundeena,342,0,0
0,121011401,2017,St Leonards - Naremburn,341,2,0.005865103
0,309091266,2017,Southport,339,1,0.002949853
0,206051128,2017,Albert Park,339,2,0.005899705
0,122021423,2017,Warriewood - Mona Vale,334,3,0.008982036
0,128011527,2017,Caringbah - Lilli Pilli,331,0,0
0,118021352,2017,Randwick,329,4,0.012158055
0,126021500,2017,Macquarie Park - Marsfield,327,5,0.01529052
0,506071147,2017,South Perth - Kensington,327,5,0.01529052
0,121041415,2017,Mosman,326,4,0.012269939
0,206061137,2017,South Yarra - East,321,2,0.00623053
0,207011151,2017,Hawthorn,317,57,0.179810726
0,122031428,2017,Frenchs Forest - Belrose,316,4,0.012658228
0,305041135,2017,Paddington - Milton,314,2,0.006369427
0,115011292,2017,Castle Hill,304,0,0
0,117031336,2017,Surry Hills,301,6,0.019933555
0,117031335,2017,Redfern - Chippendale,299,20,0.066889632
0,121011402,2017,Willoughby - Castle Cove - Northbridge,296,1,0.003378378
0,318021467,2017,Aitkenvale,292,1,0.003424658
0,208011169,2017,Brighton (Vic.),292,0,0
0,121041414,2017,Crows Nest - Waverton,290,2,0.006896552
0,121031410,2017,St Ives,287,0,0
0,206041117,2017,Carlton,286,42,0.146853147
0,207011153,2017,Kew,283,0,0
0,208031188,2017,Cheltenham - Highett (East),275,1,0.003636364
0,507021165,2017,Fremantle,268,1,0.003731343
0,206041124,2017,Parkville,265,79,0.298113208
0,115021297,2017,Dural - Kenthurst - Wisemans Ferry,265,3,0.011320755
0,315021407,2017,Northern Highlands,263,0,0
0,118021348,2017,Coogee - Clovelly,263,0,0
0,122011419,2017,Manly - Fairlight,262,0,0
0,206061136,2017,Prahran - Windsor,260,1,0.003846154
0,117031332,2017,Newtown - Camperdown - Darlington,259,43,0.166023166
0,309101270,2017,Surfers Paradise,256,0,0
0,121041416,2017,Neutral Bay - Kirribilli,256,0,0
0,208031193,2017,Mordialloc - Parkdale,250,0,0
0,211011251,2017,Bayswater,250,1,0.004
0,209021206,2017,Preston,249,0,0
0,118021349,2017,Kensington - Kingsford,249,28,0.112449799
0,118011345,2017,Paddington - Moore Park,247,0,0
0,206061138,2017,Toorak,244,3,0.012295082
0,122011418,2017,Balgowlah - Clontarf - Seaforth,242,2,0.008264463
0,404031108,2017,Richmond (SA),241,32,0.132780083
0,120021388,2017,Leichhardt - Annandale,240,28,0.116666667
0,120021387,2017,Balmain,239,2,0.008368201
0,120011386,2017,Five Dock - Abbotsford,238,1,0.004201681
0,121031407,2017,Gordon - Killara,236,2,0.008474576
0,212051324,2017,Mount Waverley - South,234,2,0.008547009
0,206041123,2017,North Melbourne,232,0,0
0,505021091,2017,Osborne Park Industrial,231,1,0.004329004
0,303051076,2017,Rocklea - Acacia Ridge,229,0,0
0,117031338,2017,Waterloo - Beaconsfield,229,0,0
0,121011399,2017,Chatswood (West) - Lane Cove North,229,0,0
0,121041413,2017,Cremorne - Cammeray,228,0,0
0,118011340,2017,Bondi Beach - North Bondi,228,0,0
0,504011045,2017,Bayswater - Embleton - Bedford,227,3,0.013215859
0,117031334,2017,Pyrmont - Ultimo,225,4,0.017777778
0,116011307,2017,Lalor Park - Kings Langley,224,0,0
0,122021422,2017,Newport - Bilgola,222,0,0
0,401071024,2017,Unley - Parkside,220,1,0.004545455
0,117021326,2017,Marrickville,220,3,0.013636364
0,118021351,2017,Maroubra,219,1,0.00456621
0,118011341,2017,Bondi Junction - Waverly,219,0,0
0,401031013,2017,Toorak Gardens,219,6,0.02739726
0,207011148,2017,Balwyn North,218,5,0.02293578
0,120011383,2017,Concord - Mortlake - Cabarita,218,18,0.082568807
0,128021536,2017,Oyster Bay - Como - Jannali,216,0,0
0,121031408,2017,Lindfield - Roseville,216,0,0
0,208041194,2017,Malvern - Glen Iris,215,1,0.004651163
0,125021477,2017,Ermington - Rydalmere,214,4,0.018691589
0,212051325,2017,Mulgrave,211,7,0.033175355
